장례식장명,요금카테고리,상품/항목명,가격,상품설명
위드엔젤,일반 동물 장례 패키지 (5kg 미만 기준),예식 용품,별도 문의,선택 사항 및 세부 용품
이별공간,장례 패키지 (5kg 미만 / VAT 별도),공통장례,"250,000원","염습, 단독 추모, 개별화장, 기본함 등"
이별공간,장례 패키지 (5kg 미만 / VAT 별도),구름장례,"350,000원",공통 + 수제 이불수의 + 구름관
이별공간,장례 패키지 (5kg 미만 / VAT 별도),이별장례,"450,000원",공통 + 수제 이불수의 + 오픈관 + 사진액자
이별공간,장례 패키지 (5kg 미만 / VAT 별도),이별고급장례,"650,000원",공통 + 고급 삼베수의 + 백자 유골함 + 뚜껑관
이별공간,장례 패키지 (5kg 미만 / VAT 별도),무지개장례,"850,000원",공통 + 고급 이불수의 + 기능성 유골함 + 하우징 + 액자
이별공간,장례 패키지 (5kg 미만 / VAT 별도),프리미엄장례,"1,300,000원",공통 + 명주수의 + 뚜껑관 + 호두나무함 + 하우징 + 액자
이별공간,결합 패키지 (장례 + 안치/스톤),납골당 패키지,"950,000원",이별장례 + 납골당(상하층) + 기능성함 + 액자 등
이별공간,결합 패키지 (장례 + 안치/스톤),스톤 패키지,"950,000원",이별장례 + M스톤 + 고급 스톤함 + 액자
이별공간,결합 패키지 (장례 + 안치/스톤),납골당 프리미엄,"1,500,000원",공통장례 + 납골당(전층) + 명주수의 + 뚜껑관 + 호두나무함 + 액자
이별공간,결합 패키지 (장례 + 안치/스톤),스톤 프리미엄,"1,500,000원",공통장례 + M스톤 + 최고급함 + 명주수의 + 뚜껑관 + 하우징 + 액자
이별공간,기타 비용 및 서비스 (VAT 별도),체중 추가 비용,"10,000원 (1kg당)",5kg 초과 시 적용
이별공간,기타 비용 및 서비스 (VAT 별도),봉안당 안치 (상하층),"200,000원","1, 2, 6층 안치 (1년 기준)"
이별공간,기타 비용 및 서비스 (VAT 별도),봉안당 안치 (중층),"300,000원","3, 4, 5층 안치 (1년 기준)"
이별공간,기타 비용 및 서비스 (VAT 별도),수목장 / 기와장,"100,000원",자연 안치 (1년 기준)
전주아리움,등록 요금 정보 없음,-,전화 문의,-
전주하늘,등록 요금 정보 없음,-,전화 문의,-
젠틀펫스타,등록 요금 정보 없음,-,전화 문의,-
좋은친구들,일반 장례비용 (5kg 기준),기본 장례,"150,000원","예식실이용, 화장, 참관, 기본유골함"
좋은친구들,일반 장례비용 (5kg 기준),선택 사항,별도 문의,"수의, 관 별도 상담"
타임투,베이직 장례 서비스 (VAT 포함),주간 베이직 (09:00 - 18:00),"250,000원",5kg 기준 (1kg 초과 시 1만원 가산)
타임투,베이직 장례 서비스 (VAT 포함),야간 베이직 (18:00 - 22:00),"280,000원",5kg 기준 (1kg 초과 시 1만원 가산)
타임투,장례 패키지 (VAT 포함),타임투 장례 서비스,"470,000원",베이직 + 고급 수의/관 + 기능성함
타임투,장례 패키지 (VAT 포함),프리미엄 장례 서비스,"900,000원",베이직 + 특급 수의/관 + 특급 기능성함 + 액자
